fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
97,6,1111.1771240234375 749.9624633789062 1218.0716552734375 782.9306030273438,0.38355517387390137,JOSD,0.2152834522793384
98,6,1113.4593505859375 750.3656616210938 1215.153564453125 785.6432495117188,0.4410973787307739,JOGEPD,0.3678837597216723
99,6,381.5420837402344 702.9822387695312 464.5496520996094 736.7905883789062,0.4328967034816742,3,0.14278210579972495
100,6,381.4490051269531 702.66162109375 461.9433898925781 738.62890625,0.45530715584754944, ,0.0
101,6,381.3749084472656 702.6405029296875 461.9535217285156 738.6245727539062,0.4558923542499542, ,0.0
102,6,1114.938232421875 754.5911865234375 1213.669677734375 792.1796264648438,0.5207027196884155,JOGEPP,0.15817807102873077
103,6,1114.98095703125 754.6083984375 1213.67578125 792.1969604492188,0.5203937292098999,JOGEPP,0.15817807102873077
104,6,374.4659729003906 706.22607421875 459.0609130859375 739.8316650390625,0.45302990078926086, ,0.0
105,6,374.4098205566406 706.2453002929688 459.120361328125 739.851806640625,0.45127108693122864, ,0.0
106,6,375.00799560546875 707.0718994140625 459.1554870605469 741.1721801757812,0.39752286672592163, ,0.0
107,6,375.12115478515625 707.07373046875 459.1277770996094 741.1443481445312,0.3960753381252289, ,0.0
108,6,375.4958190917969 708.5550537109375 457.2458801269531 742.1790771484375,0.47974345088005066, ,0.0
109,6,375.4841003417969 708.5603637695312 457.2506103515625 742.1847534179688,0.4798668920993805, ,0.0
110,6,366.7113037109375 711.9619750976562 457.18426513671875 745.8603515625,0.45702335238456726, ,0.0
111,6,366.66094970703125 711.9735107421875 457.2235107421875 745.8575439453125,0.45706355571746826, ,0.0
112,6,1123.075439453125 767.45361328125 1219.783935546875 804.0374145507812,0.4421958923339844,DJOD,0.10914166730376698
113,6,1123.1199951171875 767.4522705078125 1219.7420654296875 804.0123291015625,0.4416750967502594,DJOD,0.10914166730376698
114,6,1121.0821533203125 770.2982788085938 1219.5198974609375 804.8291625976562,0.46011415123939514,GJOGE,0.037461475229781896
115,6,1121.0887451171875 770.2772827148438 1219.5469970703125 804.8094482421875,0.4596656262874603,GJOGE,0.037461475229781896
116,6,1122.0494384765625 768.1724243164062 1220.4512939453125 809.2828369140625,0.5280768871307373,JOGEO,0.14660763129841997
117,6,1122.0579833984375 768.1697998046875 1220.45458984375 809.287841796875,0.5282365679740906,JOGEO,0.14660763129841997
118,6,362.7473449707031 719.1550903320312 459.99566650390625 754.6380004882812,0.4811820387840271, ,0.0
119,6,362.7077331542969 719.1498413085938 459.99798583984375 754.6450805664062,0.48184049129486084, ,0.0
120,6,361.73095703125 720.343994140625 459.7536315917969 755.9301147460938,0.4683349132537842, ,0.0
121,6,361.740966796875 720.3529663085938 459.7430114746094 755.9417724609375,0.46893277764320374, ,0.0
